0.0000000000000000	3.737491797000000e+4	4.355025000000000e+4
3.913900000000000e-1	3.708982031000000e+4	4.306903906000000e+4
7.827800000000000e-1	3.672760547000000e+4	4.245366406000000e+4
1.174170000000000e+0	3.607363281000000e+4	4.137927344000000e+4
1.565560000000000e+0	3.527256250000000e+4	3.991219531000000e+4
1.956950000000000e+0	3.419712109000000e+4	3.803342969000000e+4
2.348340000000000e+0	3.292830078000000e+4	3.574062500000000e+4
2.739730000000000e+0	3.140754688000000e+4	3.314957812000000e+4
3.131120000000000e+0	2.965082812000000e+4	3.017868359000000e+4
3.522510000000000e+0	2.771197852000000e+4	2.710369922000000e+4
3.913890000000000e+0	2.554571094000000e+4	2.387027148000000e+4
4.305280000000000e+0	2.323288281000000e+4	2.060820508000000e+4
4.696670000000000e+0	2.081026953000000e+4	1.748543750000000e+4
5.088059999999999e+0	1.828893750000000e+4	1.459904883000000e+4
5.479450000000000e+0	1.580340625000000e+4	1.195493262000000e+4
5.870840000000000e+0	1.334788867000000e+4	9.653072270000000e+3
6.262230000000000e+0	1.110035840000000e+4	7.760187500000000e+3
6.653620000000000e+0	9.054408200000000e+3	6.211679690000000e+3
7.045010000000001e+0	7.252737300000000e+3	4.982353520000000e+3
7.436400000000000e+0	5.755441890000000e+3	4.064906250000000e+3
7.827790000000000e+0	4.544971190000000e+3	3.342817870000000e+3
8.219180000000000e+0	3.595090820000000e+3	2.797534420000000e+3
8.610569999999998e+0	2.888522460000000e+3	2.379447510000000e+3
9.001960000000000e+0	2.349809570000000e+3	2.040303960000000e+3
9.393350000000000e+0	1.957268550000000e+3	1.781790530000000e+3
9.784740000000000e+0	1.663324100000000e+3	1.559201420000000e+3
1.017613000000000e+1	1.439217770000000e+3	1.378640140000000e+3
1.056752000000000e+1	1.257548100000000e+3	1.214684810000000e+3
1.095890000000000e+1	1.110236690000000e+3	1.077542480000000e+3
1.135029000000000e+1	9.922355300000000e+2	9.523806200000000e+2
1.174168000000000e+1	8.842215600000000e+2	8.417903400000000e+2
1.213307000000000e+1	7.865567600000000e+2	7.454585600000000e+2
1.252446000000000e+1	7.079164400000000e+2	6.583426500000001e+2
1.291585000000000e+1	6.304883999999999e+2	5.761302500000001e+2
1.330724000000000e+1	5.577191800000001e+2	5.042117300000000e+2
1.369863000000000e+1	4.944215700000000e+2	4.559763200000000e+2
1.409002000000000e+1	4.356652200000000e+2	3.949951200000000e+2
1.448141000000000e+1	3.891486800000000e+2	3.456294600000000e+2
1.487280000000000e+1	3.486208500000000e+2	3.055839200000000e+2
1.526419000000000e+1	3.097575700000000e+2	2.743369800000000e+2
1.565558000000000e+1	2.727939800000000e+2	2.422553400000000e+2
1.604697000000000e+1	2.401817300000000e+2	2.163118300000000e+2
1.643836000000000e+1	2.136667500000000e+2	1.916029100000000e+2
1.682975000000000e+1	1.918106700000000e+2	1.697978200000000e+2
1.722114000000000e+1	1.696832000000000e+2	1.531397400000000e+2
1.761253000000000e+1	1.540781700000000e+2	1.341342000000000e+2
1.800391000000000e+1	1.365914900000000e+2	1.202234600000000e+2
1.839530000000000e+1	1.214025900000000e+2	1.081733100000000e+2
1.878669000000000e+1	1.105559700000000e+2	9.678389000000000e+1
1.917808000000000e+1	9.778246000000000e+1	8.612480000000000e+1
1.956947000000000e+1	8.960452000000000e+1	8.016058000000000e+1
1.996086000000000e+1	7.956303000000000e+1	6.924065000000000e+1
2.035225000000000e+1	7.171075000000001e+1	6.484138000000000e+1
2.074364000000000e+1	6.605676000000000e+1	5.950314000000000e+1
