7	    80
7.01	83
7.02	78
7.03	72
7.04	79
7.05	86
7.06	90
7.07	79
7.08	75
7.09	82
7.1	  66
7.11	87
7.12	87
7.13	91
7.14	71
7.15	74
7.16	77
7.17	82
7.18	85
7.19	80
7.2	  85
7.21	92
7.22	86
7.23	91
7.24	103
7.25	111
7.26	118
7.27	140
7.28	172
7.29	193
7.3	  221
7.31	264
7.32	329
7.33	371
7.34	462
7.35	533
7.36	581
7.37	659
7.38	730
7.39	845
7.4	  842
7.41	874
7.42	899
7.43	897
7.44	880
7.45	848
7.46	800
7.47	713
7.48	682
7.49	579
7.5	  529
7.51	454
7.52	396
7.53	343
7.54	265
7.55	225
7.56	206
7.57	162
7.58	145
7.59	129
7.6	  92
7.61	109
7.62	92
7.63	78
7.64	89
7.65	84
7.66	87
7.67	96
7.68	79
7.69	66
7.7	  79
7.71	68
7.72	66
7.73	60
7.74	44
7.75	74
7.76	75
7.77	82
7.78	63
7.79	53
7.8	  63
